Asistencia_Escolar,s01a_03,s01a_02,area,depto,s01a_07_1,s01a_09,yhogpc,niv_ed,s06a_06,s06a_07,s06a_12,Grupo_Edad,Ingreso_log,Rural,Tiene_Electricidad,Agua_Red,Riesgo_Desercion
1,19.0,2.0,1.0,1.0,6.0,2.0,900.3966674804688,4.0,5.0,2.0,1.0,17-19 años,6.803945413201199,0,1,1,0
1,15.0,2.0,1.0,1.0,6.0,2.0,900.3966674804688,3.0,5.0,2.0,1.0,15-16 años,6.803945413201199,0,1,1,0
0,18.0,2.0,1.0,1.0,27.0,1.0,1416.929931640625,4.0,5.0,2.0,1.0,17-19 años,7.256953292359637,0,1,1,1
1,17.0,2.0,1.0,1.0,6.0,2.0,602.9500122070312,3.0,5.0,2.0,1.0,17-19 años,6.403491433263277,0,1,1,0
1,15.0,2.0,1.0,1.0,6.0,2.0,602.9500122070312,3.0,5.0,2.0,1.0,15-16 años,6.403491433263277,0,1,1,0
1,11.0,2.0,1.0,1.0,6.0,2.0,602.9500122070312,1.0,5.0,2.0,1.0,6-11 años,6.403491433263277,0,1,1,0
1,12.0,2.0,1.0,1.0,6.0,2.0,122.91666412353516,1.0,8.0,2.0,1.0,12-14 años,4.8196092761492375,0,1,1,0
1,11.0,1.0,1.0,1.0,6.0,2.0,122.91666412353516,1.0,8.0,2.0,1.0,6-11 años,4.8196092761492375,0,1,1,0
1,18.0,1.0,1.0,1.0,6.0,2.0,1531.6666259765625,4.0,8.0,1.0,1.0,17-19 años,7.334764390106449,0,1,1,0
1,13.0,1.0,1.0,1.0,6.0,2.0,1531.6666259765625,2.0,8.0,1.0,1.0,12-14 años,7.334764390106449,0,1,1,0
1,6.0,1.0,1.0,1.0,6.0,2.0,1764.0067138671875,0.0,5.0,1.0,1.0,6-11 años,7.47590977325092,0,1,1,0
1,12.0,1.0,1.0,1.0,6.0,1.0,1208.1805419921875,2.0,8.0,1.0,1.0,12-14 años,7.09769817113854,0,1,1,0
1,19.0,1.0,1.0,1.0,6.0,2.0,2692.800048828125,4.0,4.0,1.0,1.0,17-19 años,7.898708133290828,0,1,1,0
1,17.0,2.0,1.0,1.0,6.0,2.0,2692.800048828125,3.0,4.0,1.0,1.0,17-19 años,7.898708133290828,0,1,1,0
1,15.0,2.0,1.0,1.0,6.0,2.0,994.8250122070312,3.0,5.0,1.0,1.0,15-16 años,6.903571551594015,0,1,1,0
1,13.0,2.0,1.0,1.0,6.0,2.0,994.8250122070312,3.0,5.0,1.0,1.0,12-14 años,6.903571551594015,0,1,1,0
1,10.0,1.0,1.0,1.0,6.0,2.0,519.0523681640625,1.0,5.0,1.0,1.0,6-11 años,6.253929514512574,0,1,1,0
1,6.0,1.0,1.0,1.0,6.0,2.0,519.0523681640625,0.0,5.0,1.0,1.0,6-11 años,6.253929514512574,0,1,1,0
1,19.0,2.0,1.0,1.0,6.0,2.0,519.0523681640625,4.0,5.0,1.0,1.0,17-19 años,6.253929514512574,0,1,1,0
1,15.0,2.0,1.0,1.0,6.0,2.0,1019.8400268554688,3.0,5.0,1.0,1.0,15-16 años,6.928381123083019,0,1,1,0
1,12.0,2.0,1.0,1.0,6.0,2.0,1827.6112060546875,2.0,8.0,1.0,1.0,12-14 años,7.511312053926953,0,1,1,0
1,17.0,2.0,1.0,1.0,6.0,2.0,2141.25390625,3.0,8.0,1.0,1.0,17-19 años,7.669613780980872,0,1,1,0
1,12.0,1.0,1.0,1.0,6.0,1.0,487.3055419921875,1.0,5.0,1.0,1.0,12-14 años,6.1909413205673856,0,1,1,0
1,6.0,1.0,1.0,1.0,6.0,2.0,563.933349609375,0.0,5.0,1.0,1.0,6-11 años,6.336707758894847,0,1,1,0
1,7.0,1.0,1.0,1.0,6.0,2.0,1405.666748046875,1.0,5.0,1.0,1.0,6-11 años,7.248978176215175,0,1,1,0
1,14.0,1.0,1.0,1.0,6.0,2.0,748.3333129882812,3.0,8.0,1.0,1.0,12-14 años,6.619183895194602,0,1,1,0
1,12.0,1.0,1.0,1.0,6.0,2.0,748.3333129882812,2.0,8.0,1.0,1.0,12-14 años,6.619183895194602,0,1,1,0
1,14.0,2.0,1.0,1.0,6.0,2.0,924.4500122070312,3.0,8.0,2.0,1.0,12-14 años,6.830280118893099,0,1,1,0
1,12.0,2.0,1.0,1.0,6.0,2.0,924.4500122070312,3.0,8.0,2.0,1.0,12-14 años,6.830280118893099,0,1,1,0
1,19.0,2.0,1.0,1.0,6.0,2.0,1365.625,3.0,8.0,2.0,1.0,17-19 años,7.220099475754649,0,1,1,0
1,7.0,1.0,1.0,1.0,6.0,2.0,804.2200317382812,1.0,5.0,1.0,1.0,6-11 años,6.691115571422257,0,1,1,0
1,13.0,2.0,1.0,1.0,6.0,2.0,804.2200317382812,2.0,5.0,1.0,1.0,12-14 años,6.691115571422257,0,1,1,0
1,11.0,1.0,1.0,1.0,6.0,2.0,804.2200317382812,1.0,5.0,1.0,1.0,6-11 años,6.691115571422257,0,1,1,0
1,19.0,1.0,1.0,1.0,6.0,2.0,1860.3919677734375,3.0,5.0,1.0,1.0,17-19 años,7.529079856588887,0,1,1,0
1,13.0,1.0,1.0,1.0,6.0,2.0,1477.8333740234375,3.0,5.0,1.0,1.0,12-14 años,7.299008795122286,0,1,1,0
1,9.0,1.0,1.0,1.0,6.0,2.0,1477.8333740234375,1.0,5.0,1.0,1.0,6-11 años,7.299008795122286,0,1,1,0
1,11.0,2.0,1.0,1.0,6.0,2.0,970.2913208007812,1.0,5.0,1.0,1.0,6-11 años,6.878626444715918,0,1,1,0
1,7.0,1.0,1.0,1.0,6.0,2.0,970.2913208007812,1.0,5.0,1.0,1.0,6-11 años,6.878626444715918,0,1,1,0
1,16.0,1.0,1.0,1.0,6.0,2.0,2382.0,3.0,7.0,1.0,1.0,15-16 años,7.776115477098742,0,1,1,0
1,12.0,2.0,1.0,1.0,6.0,2.0,1012.5,3.0,7.0,1.0,1.0,12-14 años,6.921164965892054,0,1,1,0
1,8.0,1.0,1.0,1.0,6.0,2.0,748.2083129882812,1.0,5.0,1.0,1.0,6-11 años,6.619017066328292,0,1,1,0
1,6.0,1.0,1.0,1.0,6.0,2.0,748.2083129882812,0.0,5.0,1.0,1.0,6-11 años,6.619017066328292,0,1,1,0
0,19.0,2.0,1.0,1.0,6.0,2.0,1472.199951171875,4.0,5.0,1.0,1.0,17-19 años,7.295192151426649,0,1,1,1
1,10.0,2.0,1.0,1.0,6.0,2.0,1472.199951171875,1.0,5.0,1.0,1.0,6-11 años,7.295192151426649,0,1,1,0
1,14.0,1.0,1.0,1.0,6.0,2.0,692.7999877929688,1.0,1.0,1.0,1.0,12-14 años,6.542183716941197,0,1,1,0
1,6.0,1.0,1.0,1.0,6.0,2.0,692.7999877929688,0.0,1.0,1.0,1.0,6-11 años,6.542183716941197,0,1,1,0
