s01a_03,s01a_02,area,depto,s01a_07_1,s01a_09,yhogpc,niv_ed,s06a_06,s06a_07,s06a_12,Real_No_Asiste,Pred_Logistica,Prob_Logistica,Pred_RandomForest,Prob_RandomForest
14.0,1.0,1.0,8.0,6.0,2.0,625.0,3.0,5.0,6.0,1.0,0,0,0.18390106661169248,0,0.013333333333333334
11.0,2.0,1.0,9.0,6.0,2.0,1251.47998046875,1.0,5.0,6.0,1.0,0,0,0.16611514321409812,0,0.0033333333333333335
11.0,2.0,2.0,4.0,6.0,1.0,484.6666564941406,1.0,5.0,5.0,1.0,0,0,0.06719974144792988,0,0.0033333333333333335
8.0,2.0,1.0,7.0,6.0,2.0,2695.0,1.0,8.0,1.0,1.0,0,0,0.0058392619904165215,0,0.0
11.0,2.0,1.0,7.0,6.0,2.0,1805.949951171875,1.0,8.0,1.0,1.0,0,0,0.053428434334508425,0,0.0
16.0,1.0,1.0,2.0,6.0,2.0,609.7857055664062,3.0,5.0,2.0,1.0,0,0,0.40232036891680767,0,0.03666666666666667
17.0,1.0,1.0,2.0,2.0,2.0,2723.333251953125,3.0,3.0,1.0,1.0,0,0,0.31255207920515676,0,0.12
17.0,2.0,1.0,2.0,6.0,2.0,2210.0,3.0,3.0,1.0,1.0,0,0,0.20676769315598434,0,0.0
13.0,1.0,1.0,5.0,6.0,2.0,1458.606689453125,3.0,8.0,2.0,1.0,0,0,0.040760705892951596,0,0.0
19.0,1.0,2.0,4.0,6.0,1.0,1461.375,4.0,7.0,5.0,1.0,1,1,0.9481551468784228,1,0.53
19.0,2.0,2.0,9.0,6.0,2.0,2714.33349609375,3.0,8.0,8.0,2.0,1,1,0.8930259078403691,0,0.24666666666666667
14.0,1.0,2.0,5.0,6.0,1.0,111.11111450195312,3.0,1.0,7.0,1.0,0,0,0.315666040433298,0,0.06333333333333334
15.0,1.0,1.0,7.0,6.0,2.0,2687.949951171875,3.0,5.0,1.0,1.0,0,0,0.18796673658333007,0,0.0
9.0,2.0,1.0,2.0,6.0,1.0,2006.0,1.0,5.0,1.0,1.0,0,0,0.007569081366896575,0,0.02
11.0,2.0,1.0,7.0,6.0,2.0,1256.0,1.0,8.0,1.0,1.0,1,0,0.05504084453371876,0,0.0
7.0,2.0,1.0,8.0,6.0,2.0,1905.199951171875,1.0,1.0,2.0,1.0,0,0,0.010740711351754122,0,0.0
14.0,2.0,1.0,2.0,6.0,1.0,2101.666748046875,3.0,5.0,2.0,1.0,0,0,0.09238734834963187,0,0.0033333333333333335
15.0,2.0,1.0,7.0,6.0,1.0,1982.671875,3.0,5.0,2.0,1.0,0,0,0.29905241431067603,0,0.03666666666666667
17.0,2.0,1.0,1.0,6.0,2.0,1361.477783203125,3.0,8.0,1.0,1.0,0,0,0.2887181055348313,0,0.0
11.0,2.0,1.0,2.0,6.0,2.0,1000.0,1.0,4.0,1.0,1.0,0,0,0.03412421813193144,0,0.0
7.0,2.0,2.0,8.0,6.0,2.0,1772.0,0.0,1.0,6.0,1.0,0,1,0.6831983702788247,0,0.006666666666666667
8.0,2.0,1.0,3.0,6.0,2.0,1010.0,1.0,8.0,1.0,1.0,0,0,0.002635301294861771,0,0.0
14.0,2.0,1.0,3.0,6.0,2.0,2319.683349609375,3.0,5.0,1.0,1.0,0,0,0.03288846418674935,0,0.0
7.0,1.0,1.0,7.0,6.0,2.0,4725.44140625,0.0,8.0,1.0,1.0,0,0,0.23290842491334515,0,0.0
17.0,1.0,1.0,7.0,6.0,2.0,1339.1475830078125,3.0,8.0,1.0,1.0,0,0,0.4731483515249025,0,0.013333333333333334
10.0,2.0,1.0,4.0,6.0,2.0,2278.25,1.0,8.0,1.0,1.0,0,0,0.011858545960603945,0,0.0
10.0,2.0,1.0,4.0,6.0,2.0,550.0,1.0,1.0,1.0,1.0,0,0,0.03794041890953347,0,0.006666666666666667
15.0,2.0,1.0,9.0,6.0,2.0,3199.485595703125,3.0,8.0,1.0,1.0,0,0,0.09632585947757957,0,0.0
15.0,2.0,2.0,1.0,6.0,2.0,1633.1112060546875,2.0,5.0,2.0,1.0,1,1,0.7307256523937343,0,0.14333333333333334
18.0,1.0,1.0,4.0,6.0,2.0,1838.4849853515625,4.0,3.0,1.0,1.0,0,1,0.7907405415716106,0,0.3
13.0,2.0,1.0,3.0,6.0,2.0,1359.9366455078125,3.0,5.0,2.0,1.0,0,0,0.04056600490629712,0,0.0033333333333333335
17.0,2.0,2.0,9.0,6.0,2.0,2279.433349609375,4.0,2.0,8.0,1.0,1,1,0.9084871541419137,1,0.7666666666666667
15.0,1.0,1.0,2.0,6.0,1.0,3004.033203125,3.0,3.0,1.0,1.0,0,0,0.07039395790619357,0,0.0
13.0,1.0,1.0,3.0,6.0,2.0,1353.25830078125,2.0,8.0,1.0,1.0,0,0,0.11169371416508887,0,0.0
14.0,1.0,1.0,3.0,6.0,2.0,2500.0,3.0,8.0,1.0,1.0,0,0,0.03622933815725452,0,0.0
6.0,2.0,1.0,3.0,6.0,2.0,990.05712890625,0.0,5.0,9.0,1.0,0,0,0.06674939835011062,0,0.0
16.0,2.0,1.0,2.0,6.0,2.0,967.1867065429688,3.0,5.0,1.0,1.0,0,0,0.1647951564340784,0,0.0033333333333333335
12.0,2.0,2.0,2.0,6.0,2.0,1349.699951171875,2.0,5.0,1.0,1.0,0,0,0.09110186246002934,0,0.016666666666666666
15.0,1.0,1.0,8.0,6.0,2.0,830.5556030273438,2.0,1.0,1.0,1.0,0,1,0.6753385237168461,0,0.05
19.0,2.0,1.0,9.0,6.0,2.0,995.0,5.0,5.0,1.0,1.0,0,0,0.4172946199344215,0,0.27
10.0,2.0,1.0,2.0,6.0,2.0,530.0,1.0,3.0,2.0,1.0,0,0,0.02876581619557084,0,0.0
11.0,1.0,1.0,9.0,6.0,2.0,2738.02490234375,1.0,8.0,1.0,1.0,0,0,0.053910109860829246,0,0.0
14.0,1.0,2.0,2.0,2.0,1.0,712.5,2.0,3.0,8.0,2.0,0,1,0.5878541966735406,0,0.08666666666666667
9.0,1.0,1.0,7.0,6.0,2.0,1235.75,1.0,4.0,1.0,1.0,0,0,0.021128775010814074,0,0.056666666666666664
7.0,2.0,1.0,7.0,6.0,2.0,1119.0750732421875,0.0,8.0,1.0,1.0,0,0,0.21546295145368685,0,0.0
12.0,2.0,2.0,5.0,6.0,2.0,150.0,2.0,5.0,5.0,1.0,0,0,0.10215746071182219,0,0.043333333333333335
6.0,2.0,1.0,3.0,6.0,2.0,1476.0,0.0,6.0,1.0,1.0,0,0,0.06974050880661414,0,0.0
12.0,1.0,1.0,3.0,6.0,2.0,1983.5953369140625,1.0,8.0,1.0,1.0,0,0,0.06088318419624938,0,0.0033333333333333335
11.0,2.0,1.0,6.0,6.0,2.0,1060.5999755859375,1.0,8.0,2.0,1.0,0,0,0.10063483928433774,0,0.0033333333333333335
14.0,1.0,2.0,2.0,2.0,1.0,478.6666564941406,3.0,5.0,5.0,1.0,0,0,0.1508917703301312,0,0.0
17.0,2.0,1.0,2.0,6.0,1.0,1220.0,3.0,3.0,1.0,1.0,0,0,0.21239933706621056,0,0.05333333333333334
11.0,1.0,2.0,1.0,6.0,2.0,583.3333740234375,1.0,5.0,2.0,1.0,0,0,0.1864038742371476,0,0.0
6.0,1.0,1.0,4.0,6.0,2.0,1301.7777099609375,0.0,8.0,1.0,1.0,0,0,0.07463866551376303,0,0.0033333333333333335
13.0,1.0,1.0,3.0,6.0,2.0,1280.8333740234375,2.0,5.0,5.0,1.0,0,0,0.18107284448643365,0,0.0
7.0,2.0,2.0,4.0,6.0,2.0,960.0,1.0,3.0,7.0,1.0,0,0,0.004730357107684787,0,0.0
7.0,2.0,1.0,2.0,6.0,2.0,3105.5556640625,1.0,3.0,1.0,1.0,0,0,0.0011363270245842289,0,0.0
15.0,1.0,2.0,4.0,2.0,2.0,769.5199584960938,3.0,1.0,7.0,1.0,0,1,0.6079608417526438,0,0.07
17.0,1.0,1.0,6.0,6.0,2.0,1276.6666259765625,3.0,8.0,1.0,1.0,0,0,0.41036139685946316,0,0.006666666666666667
13.0,1.0,1.0,3.0,6.0,2.0,4713.830078125,2.0,5.0,5.0,1.0,0,0,0.15376918277418644,0,0.0033333333333333335
16.0,1.0,1.0,7.0,6.0,2.0,824.0166625976562,3.0,8.0,2.0,1.0,0,1,0.5212004579938632,0,0.0033333333333333335
18.0,1.0,1.0,2.0,6.0,2.0,1599.7916259765625,3.0,3.0,1.0,1.0,0,0,0.4339343219042366,0,0.006666666666666667
13.0,1.0,2.0,1.0,6.0,2.0,1514.6500244140625,3.0,8.0,1.0,1.0,0,0,0.041547228038556525,0,0.0
16.0,2.0,1.0,9.0,6.0,2.0,1472.5,3.0,8.0,9.0,1.0,0,0,0.21098466067218424,0,0.0
12.0,1.0,1.0,4.0,6.0,2.0,337.5,2.0,1.0,1.0,1.0,0,0,0.17498568640773896,0,0.0033333333333333335
19.0,1.0,1.0,7.0,6.0,2.0,1581.5001220703125,4.0,6.0,1.0,1.0,0,1,0.968068119530284,0,0.11
